ModelID;Model;MakeID;TypeDefault;LastModelYear
1; N/A;1;2;2032
2;ILX;2;3;2016
3;MDX;2;4;2016
4;RDX;2;4;2016
5;RLX/RL ;2;3;2016
6;TL;2;3;2015
7;TLX;2;3;2015
8;TSX;2;3;2016
9;TSX Sedan;2;3;2016
10;TSX SportWagon;2;5;2016
11;ZDX;2;4;2016
12;H1;4;4;2006
13;A3;6;3;2016
14;A4;6;3;2016
15;A5;6;3;2016
16;A6;6;3;2016
17;A7;6;3;2016
18;A8;6;3;2016
19;Q3;6;4;2016
20;Q5;6;4;2016
21;Q7;6;4;2016
22;R8;6;3;2016
23;S8;6;2;2010
24;TT;6;2;2016
25;1-Series & 2-Series ;9;3;2016
26;3-Series & 4-Series ;9;3;2016
27;5-Series;9;3;2016
28;6-Series;9;3;2016
29;7-Series;9;3;2016
30;I3;9;3;2016
31;I8;9;3;2016
32;X1;9;4;2016
33;X3;9;4;2016
34;X4;9;4;2016
35;X5;9;4;2016
36;X6;9;4;2016
37;Z4;9;3;2016
38;Century;12;3;2005
39;Enclave;12;4;2016
40;Encore;12;4;2016
41;LaCrosse;12;3;2016
42;LeSabre;12;3;1996
43;Lucerne;12;3;2016
44;Regal;12;3;2016
45;Verano;12;3;2016
46;ATS;13;3;2016
47;CTS;13;3;2016
48;DeVille;13;3;2005
49;DTS;13;3;2016
50;ELR;13;3;2016
51;Escalade;13;4;2016
52;Escalade EXT ;13;9;2016
53;SRX;13;4;2016
54;STS;13;3;2016
55;XTS;13;3;2016
56;CS714TA Trailer;15;16;2006
57;Astro;17;3;2005
58;Avalanche ;17;9;2016
59;Aveo;17;3;2016
60;Blazer;17;3;2005
61;Camaro;17;3;2016
62;Caprice PPV;17;3;2016
63;Captiva Sport;17;4;2016
64;Cavalier;17;3;2005
65;Cobalt;17;3;2010
66;Colorado ;17;9;2016
67;Corvette;17;2;2016
68;Cruze;17;3;2016
69;Equinox;17;4;2016
70;Express;17;10;2016
71;HHR;17;3;2016
72;Impala;17;3;2016
73;Lumina;17;3;2001
74;Malibu;17;3;2016
75;PT Cruiser;17;3;2010
76;Silverado ;17;9;2016
77;Sonic;17;3;2016
78;Spark;17;3;2016
79;SS;17;3;2015
80;Suburban;17;4;2016
81;Tahoe;17;4;2016
82;Trailblazer;17;4;2010
83;Traverse;17;4;2016
84;Volt;17;2;2016
85;200;18;3;2016
86;300;18;3;2016
87;Aspen;18;4;2010
88;Grand Voyager;18;6;2016
89;LHS;18;3;2001
90;Town & Country ;18;6;2016
91;Voyager;18;6;2007
92;Avenger;26;3;2016
93;Caliber;26;3;2016
94;Caravan;26;6;2007
95;Challenger;26;3;2016
96;Charger;26;3;2016
97;Dakota;26;9;2011
98;Dart;26;3;2016
99;Durango;26;4;2015
100;Grand Caravan ;26;6;2015
101;Intrepid;26;3;2004
102;Journey;26;4;2016
103;Laramie;26;9;2016
104;Neon;26;3;2005
105;Ram Cargo Van;26;10;2016
106;Ram Pickup;26;9;2016
107;Ram ProMaster;26;10;2016
108;Sprinter Van;26;10;2016
109;Stratus;26;3;2006
110;Viper;26;2;2016
111;500;32;2;2016
112;500L;32;3;2016
113;C-Max;34;3;2016
114;Contour;34;3;2000
115;Crown Victoria;34;3;2012
116;Econoline;34;10;2016
117;Edge;34;4;2016
118;Escape;34;4;2016
119;E-Series;34;10;2016
120;Excursion;34;4;2005
121;Expedition;34;4;2016
122;Explorer;34;4;2016
123;F150;34;9;2016
124;F250;34;9;2016
125;F350;34;9;2016
126;Fiesta;34;3;2016
127;Flex;34;4;2016
128;Focus;34;3;2016
129;Freestar;34;6;2007
130;F-Series;34;9;2016
131;Fusion;34;3;2016
132;Mustang;34;3;2016
133;Ranger;34;9;2012
134;Taurus;34;3;2016
135;Transit;34;10;2016
136;Transit Connect;34;10;2016
137;Windstar;34;6;2003
138;Metro;37;3;2001
139;Prizm;37;3;2002
140;Tracker;37;2;2004
141;Acadia;39;4;2016
142;Canyon ;39;9;2016
143;Envoy;39;4;2010
144;H2;39;4;2009
145;H3;39;4;2010
146;Safari;39;10;2005
147;Savana;39;10;2016
148;Sierra ;39;9;2016
149;Terrain;39;4;2016
150;Yukon;39;4;2016
151;Yukon XL;39;4;2016
152;Accord;44;3;2016
153;Civic;44;3;2016
154;Crosstour;44;3;2016
155;CR-V;44;4;2016
156;CR-Z;44;3;2016
157;Element;44;4;2016
158;FCX;44;3;2016
159;Fit;44;3;2016
160;Insight;44;2;2016
161;Odyssey ;44;6;2016
162;Pilot;44;4;2016
163;Ridgeline ;44;9;2016
164;S2000;44;2;2010
165;Hummer;45;4;2010
166;Accent;48;3;2016
167;Azera;48;3;2016
168;Elantra;48;3;2016
169;Entourage;48;6;2010
170;Equus;48;3;2016
171;Genesis ;48;3;2016
172;Santa Fe;48;4;2016
173;Sonata;48;3;2016
174;Tiburon;48;2;2008
175;Tucson;48;4;2016
176;Veloster;48;3;2016
177;Veracruz;48;4;2016
178;G Sedan ;49;3;2016
179;Q50 ;49;3;2016
180;Q60 ;49;3;2016
181;Q70/M;49;3;2016
182;QX50/EX;49;4;2016
183;QX60/JX;49;4;2016
184;QX70/FX;49;4;2016
185;QX80/QX56;49;4;2016
186;Rodeo;51;4;2004
187;Trooper;51;4;2002
188;F-Type;52;3;2016
189;XF;52;3;2016
190;XJ;52;3;2016
191;XK;52;3;2015
192;Cherokee;53;4;2016
193;Compass;53;4;2016
194;Grand Cherokee;53;4;2016
195;Liberty;53;4;2016
196;Patriot;53;4;2016
197;Wrangler;53;4;2016
198;Amante;57;3;2010
199;Borrego;57;4;2010
200;Cadenza;57;3;2016
201;Forte;57;3;2016
202;K900;57;3;2016
203;Optima;57;3;2016
204;Rio;57;3;2016
205;Rondo;57;3;2016
206;Sedona ;57;6;2016
207;Sorento;57;4;2016
208;Soul;57;3;2016
209;Sportage;57;4;2016
210;Discovery;62;4;2010
211;Range Rover;62;4;2016
212;Range Rover Evoque;62;4;2016
213;Range Rover Sport;62;4;2016
214;Rover LR2;62;4;2016
215;Rover LR4;62;4;2016
216;CT200h;63;3;2016
217;ES;63;3;2016
218;GS;63;3;2016
219;GX460;63;4;2016
220;HS;63;3;2016
221;IS;63;3;2016
222;LFA;63;3;2016
223;LS;63;3;2016
224;LX570;63;4;2016
225;RX;63;4;2016
226;SC;63;3;2010
227;MKC;64;4;2016
228;MKS;64;3;2016
229;MKT;64;4;2016
230;MKX;64;4;2016
231;MKZ;64;3;2016
232;Navigator;64;4;2016
233;Town Car;64;3;2011
234;2;72;3;2016
235;3;72;3;2016
236;5 ;72;6;2016
237;6;72;3;2016
238;626;72;3;2002
239;CX-5;72;4;2016
240;CX-9;72;4;2016
241;Miata;72;2;2016
242;MX-5 Miata;72;2;2016
243;RX-8;72;2;2016
244;Tribute;72;4;2016
245;B-Class;73;3;2016
246;C-Class;73;3;2016
247;CLA-Class;73;3;2016
248;CL-Class;73;3;2016
249;CLK-Class;73;3;2016
250;CLS-Class;73;3;2016
251;E-Class;73;3;2016
252;G-Class;73;4;2016
253;GLA-Class;73;4;2016
254;GL-Class;73;4;2016
255;GLK-Class;73;4;2016
256;M-Class;73;4;2016
257;R-Class;73;3;2016
258;S-Class;73;3;2016
259;SL-Class;73;3;2016
260;SLK-Class;73;3;2016
261;SLS AMG;73;3;2016
262;Sprinter;73;10;2016
263;Grand Marquis;74;3;2010
264;Mariner;74;4;2010
265;Milan;74;3;2010
266;Monterey;74;6;2010
267;Mountaineer;74;4;2010
268;Mystique;74;3;2010
269;Sable;74;3;2010
270;Villager;74;6;2010
271;Cooper;75;3;2016
272;Countryman;75;4;2016
273;Paceman;75;4;2016
274;Diamante;76;3;2005
275;Eclipse;76;3;2016
276;Endeavor;76;4;2016
277;Galant;76;3;2016
278;I MiEV;76;3;2016
279;Lancer;76;3;2016
280;Mirage;76;3;2016
281;Outlander;76;4;2016
282;Outlander Sport;76;4;2016
283;Raider;76;9;2010
284;370Z;78;3;2016
285;Altima;78;3;2016
286;Armada;78;4;2016
287;Cube;78;3;2015
288;Frontier ;78;9;2016
289;GT-R;78;3;2016
290;Juke;78;4;2016
291;Leaf;78;2;2016
292;Maxima;78;3;2016
293;Murano;78;4;2016
294;NV;78;10;2016
295;NV200;78;10;2016
296;Pathfinder;78;4;2016
297;Quest ;78;6;2016
298;Rogue;78;4;2016
299;Sentra;78;3;2016
300;Titan ;78;9;2016
301;Versa;78;3;2016
302;Xterra;78;4;2016
303;Alero;81;3;2004
304;Grand AM;90;3;2005
305;Grand Prix;90;3;2008
306;Montana;90;6;2006
307;Sunfire;90;3;2007
308;Vibe;90;3;2010
309;911;91;2;2016
310;918 Spyder;91;2;2016
311;Boxster;91;2;2016
312;Cayenne;91;4;2016
313;Cayman;91;3;2016
314;Macan;91;4;2016
315;Panamera;91;3;2016
316;Astra;99;3;2009
317;Aura;99;3;2009
318;EV1;99;2;2001
319;Ion;99;3;2007
320;L Series;99;3;2005
321;L Wagon;99;5;2005
322;L300;99;3;2005
323;L300 Wagon;99;5;2005
324;Outlook;99;4;2010
325;Relay;99;6;2007
326;S Series;99;3;2002
327;S Wagon;99;5;2001
328;Sky;99;2;2009
329;Vue;99;4;2010
330;FR-S;100;3;2016
331;IQ;100;3;2016
332;TC;100;3;2016
333;XB;100;3;2016
334;XD;100;3;2016
335;Fortwo;104;3;2016
336;BRZ;108;3;2016
337;Forester;108;4;2016
338;Impreza;108;3;2016
339;Legacy;108;3;2016
340;Legacy Wagon;108;5;2016
341;Outback;108;5;2016
342;Tribeca;108;4;2016
343;XV Crosstrek;108;3;2016
344;Equator ;109;9;2016
345;Grand Vitara;109;4;2016
346;Kizashi;109;3;2016
347;SL7;109;4;2010
348;SX4;109;3;2016
349;4Runner;113;4;2016
350;Avalon;113;3;2016
351;Camry;113;3;2016
352;Corolla/Matrix;113;3;2016
353;Corrola;113;3;2016
354;FJ Cruiser;113;4;2015
355;Highlander;113;4;2016
356;Land Cruiser;113;4;2016
357;Prius;113;3;2016
358;Prius C;113;3;2016
359;Prius V;113;3;2016
360;RAV4;113;4;2016
361;Sequoia;113;4;2016
362;Sienna ;113;6;2016
363;Tacoma ;113;9;2016
364;Tundra ;113;9;2016
365;Venza;113;3;2016
366;Yaris;113;3;2016
367;Beetle;122;2;2016
368;Cabrio;122;2;2016
369;CC;122;3;2016
370;Eos;122;3;2013
371;Golf;122;3;2016
372;Jetta;122;3;2016
373;Jetta Sedan;122;3;2016
374;Jetta SportWagen;122;5;2016
375;Passat;122;3;2016
376;Routan ;122;6;2016
377;Tiguan;122;4;2016
378;Touareg;122;4;2016
379;C30;123;3;2016
380;C70;123;3;2016
381;S60;123;3;2016
382;S80;123;3;2016
383;V60;123;3;2016
384;V70;123;5;2010
385;XC60;123;4;2016
386;XC70;123;3;2016
387;XC90;123;4;2016
388;Ford E350;126;1;2003
389;Ford E450;126;1;2016
390;Trax;17;3;2017
391;City Express;17;10;2017
